state,county,pop_total_2019,median_age_2019,median_income_2019,households_median_value_2019,households_avg_size_2019,households_total_2019,households_median_gross_rent_2019,mean_travel_time_2019,pop_total_male_rate_2019,pop_total_female_rate_2019,pop_18_39_male_rate_2019,pop_18_39_female_rate_2019,pop_40_64_male_rate_2019,pop_40_64_female_rate_2019,pop_over_65_male_rate_2019,pop_over_65_female_rate_2019,veterans_rate_2019,inmigrants_rate_2019,white_rate_2019,black_rate_2019,native_rate_2019,asian_rate_2019,pacific_rate_2019,other_rate_2019,hispanic_rate_2019,two_more_races_rate_2019,high_school_rate_2019,bachelors_rate_2019,poverty_rate_2019,households_renter_rate_2019,households_owner_rate_2019,unemployment_rate_2019,public_transport_rate_2019,no_health_insurance_rate_2019,county_fips
28,133,26168,35.6,30838,78400,2.63,8322,642,7906,52.99,47.01,19.7,13.43,16.55,14.53,5.34,7.59,3.31,0.62,25.2,73.88,0.13,0.08,0.0,0.39,1.81,0.32,14.95,6.5,26.51,46.43,53.57,13.71,0.19,12.18,28133
28,135,14158,36.8,29864,66400,2.7,4369,545,4041,55.45,44.55,22.6,12.15,16.9,13.87,6.17,8.41,3.81,3.04,35.41,53.67,0.17,1.4,0.08,8.83,9.47,0.44,14.4,4.76,26.23,28.04,71.96,12.41,0.47,10.26,28135
28,137,28404,38.2,51030,119200,2.57,10324,751,11659,48.15,51.85,13.71,14.49,15.51,17.02,7.13,8.99,4.55,1.66,66.52,29.9,0.12,0.14,0.12,0.58,2.63,2.61,19.01,6.99,16.81,25.17,74.83,6.01,0.14,12.01,28137
28,139,22018,38.8,39246,86900,2.77,7834,564,8345,48.33,51.67,13.28,13.94,16.26,16.41,6.56,9.11,3.92,2.23,77.4,16.74,0.07,0.29,0.05,3.77,4.77,1.68,17.76,6.29,19.62,27.7,72.3,4.37,0.01,12.24,28139
28,141,19441,42.5,37681,88100,2.51,7635,564,7487,49.09,50.91,12.05,13.35,16.61,15.71,9.12,11.4,5.6,0.43,96.09,2.65,0.18,0.03,0.0,0.09,3.17,0.96,21.05,5.2,19.48,24.48,75.52,6.22,0.0,13.58,28141
28,143,9988,33.6,39370,107100,2.51,3930,785,4109,46.65,53.35,13.42,17.12,13.47,14.77,5.21,6.55,3.97,2.7,19.13,78.47,0.0,1.4,0.0,0.25,0.96,0.74,18.6,7.37,23.25,59.77,40.23,7.58,0.0,14.92,28143
28,145,28507,37.9,45754,100600,2.87,9808,696,12097,49.15,50.85,13.66,13.77,15.45,15.6,7.29,9.13,3.92,2.55,79.13,15.52,0.04,0.36,0.0,3.28,4.38,1.67,18.4,5.18,14.93,26.86,73.14,5.89,0.0,10.73,28145
28,147,14477,39.8,30961,95800,2.56,5601,588,4933,49.83,50.17,13.27,14.02,14.96,15.39,8.3,10.8,3.99,0.35,52.95,46.32,0.0,0.1,0.0,0.44,0.82,0.19,24.37,5.08,23.7,12.12,87.88,3.73,0.0,16.14,28147
28,149,46519,39.1,45113,128400,2.52,18235,720,18913,47.74,52.26,13.16,14.02,15.39,17.33,7.04,9.02,5.38,1.91,48.3,49.39,0.26,0.71,0.02,0.37,2.11,0.94,16.27,9.63,20.39,33.9,66.1,6.36,0.1,11.77,28149
28,151,46057,37.2,29705,75600,2.53,17988,681,15945,46.68,53.32,12.82,14.45,14.22,16.98,6.53,8.88,3.71,1.08,25.64,72.16,0.1,0.56,0.0,0.94,1.62,0.6,16.26,6.94,33.43,47.11,52.89,13.19,0.03,15.51,28151
28,153,20373,40.2,37706,85800,2.63,7683,557,7249,49.45,50.55,11.53,13.56,16.75,16.71,7.37,9.39,3.77,0.79,57.4,41.03,0.08,0.13,0.0,0.56,0.65,0.79,20.52,4.72,20.3,16.53,83.47,9.13,0.38,9.18,28153
28,155,9768,40.5,45730,84000,2.56,3782,528,3760,48.66,51.34,12.84,12.81,15.82,16.89,7.89,10.03,4.54,0.32,78.8,20.42,0.24,0.35,0.0,0.1,0.7,0.09,18.46,8.11,21.87,23.69,76.31,4.53,0.11,10.38,28155
28,157,8875,37.8,27313,70300,2.43,3170,561,2250,54.87,45.13,20.0,11.5,15.38,14.86,7.3,9.57,3.28,0.0,27.89,71.06,0.0,0.11,0.0,0.24,0.21,0.7,22.33,5.97,30.12,20.06,79.94,10.45,0.08,11.59,28157
28,159,18229,42.3,34724,84900,2.44,7269,697,6879,48.55,51.45,12.49,12.66,16.13,16.4,8.54,11.42,5.54,0.31,50.45,46.92,1.33,0.03,0.0,0.31,1.28,0.95,20.85,6.9,22.51,26.91,73.09,7.11,0.14,12.81,28159
28,161,12367,42.5,41464,79700,2.35,5181,665,5003,48.37,51.63,11.56,12.34,15.89,17.89,8.84,10.88,3.99,0.46,59.04,39.65,0.15,0.15,0.0,0.26,1.39,0.74,21.38,6.7,18.06,29.96,70.04,5.53,0.09,12.25,28161
28,163,28565,36.1,33279,88900,2.78,8542,636,8508,58.25,41.75,22.95,11.75,17.69,12.59,5.3,7.44,5.36,3.33,36.87,59.61,0.32,0.44,0.0,1.55,4.59,1.2,17.73,6.57,26.27,36.84,63.16,14.78,0.0,10.67,28163
29,001,25369,27.6,41929,126800,2.45,9258,646,10006,48.57,51.43,20.47,22.65,11.57,12.25,6.38,8.03,4.64,4.07,91.61,2.68,0.11,2.51,0.22,0.33,2.45,2.53,16.85,7.74,21.37,39.93,60.07,5.65,0.1,7.79,29001
